video_number,vimeo_link,nº do projecto,nome,tema,sample_1,sample_2,sample_3,sample_4,sample_5,remarks,consistency,performer_category,upload_date,location,keywords,voice
11,https://vimeo.com/23632119,3,Cão da Morte,Uma música e os velhos cantautores! (parte 02),"1 performers (Solo, conf: 0.48)","1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.26)","1 performers (Solo, conf: 0.83)",Consistent (100%),100,solo (1),2011-05-12,,,"Voz, Viola Acústica"
12,https://vimeo.com/23631900,3,Cão da Morte,"Luís Gravito a.k.a. Cão da Morte, Parte 01","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.75)","1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.76)","2 performers (Duo, conf: 0.56)",Mostly consistent (80%),80,solo (1),2011-05-12,,,"Voz, Viola Acústica"
13,https://vimeo.com/52258953,4,Manuel Fúria,A tempestade,"1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.78)",Consistent (100%),100,solo (1),2012-10-26,,"pop, acústico, cantautor","Voz, viola acústica"
14,https://vimeo.com/23632579,4,Manuel Fúria,Estandarte,"1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.90)",Consistent (100%),100,solo (1),2011-05-12,,,"Voz, viola elétrica"
15,https://vimeo.com/23681938,4,Manuel Fúria,Manuel Fúria fala sobre Portugal que ainda não é,"1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.67)","1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.76)","1 performers (Solo, conf: 0.71)",Consistent (100%),100,solo (1),2011-05-13,,entrevista,Voz
16,https://vimeo.com/23681214,4,Manuel Fúria,parte 01,"1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.90)",Consistent (100%),100,solo (1),2011-05-13,,,"Voz, viola elétrica"
17,https://vimeo.com/23632579,4,Manuel Fúria interpreta Estandarte,,"1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.89)",Consistent (100%),100,solo (1),2011-05-12,,,"Voz, viola elétrica"
18,https://vimeo.com/23632698,5,Velha Gaiteira,Gaita' parta,"3 performers (Small Group, conf: 0.82)","4 performers (Small Group, conf: 0.69)","6 performers (Large Group, conf: 0.57)","5 performers (Small Group, conf: 0.58)","4 performers (Small Group, conf: 0.75)",Inconsistent - Manual review required (40%),40,small group (3-5),2011-05-12,,folk,"Bombo ou mouco beirão, caixa, gaita de foles"
19,https://vimeo.com/23682198,6,Dazkarieh,Lilaré dos 5 sentidos,"2 performers (Duo, conf: 0.84)","2 performers (Duo, conf: 0.81)","2 performers (Duo, conf: 0.81)","2 performers (Duo, conf: 0.78)","2 performers (Duo, conf: 0.77)",Consistent (100%),100,duo (2),2011-05-13,,folk,"Voz, bouzoki, adufe, pedais de efeito, amplifcador"
20,https://vimeo.com/23682451,7,João Nogueira,João Nogueira,"2 performers (Duo, conf: 0.56)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.80)",Mostly consistent (80%),80,solo (1),2011-05-13,,,"Voz, viola acústica, Amplificador"
21,https://vimeo.com/23682945,8,Filho Mãe,Parte 01,"1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.75)","1 performers (Solo, conf: 0.71)",Consistent (100%),100,solo (1),2011-05-13,,"Clássico, Blues, Música Portuguesa, Rock",viola acústica com pedais
22,https://vimeo.com/23683307,8,Filho Mãe,parte 02,"1 performers (Solo, conf: 0.69)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.80)","2 performers (Duo, conf: 0.56)",Mostly consistent (80%),80,solo (1),2011-05-13,,"Clássico, Blues, Música Portuguesa, Rock",viola acústica com pedais
23,https://vimeo.com/84213478,8,Filho Mãe,Não te mexas,"2 performers (Duo, conf: 0.46)","1 performers (Solo, conf: 0.52)",No frame found,"1 performers (Solo, conf: 0.32)","1 performers (Solo, conf: 0.39)",Mostly consistent (75%),75,solo (1),2014-01-15,,"Clássico, Blues, Música Portuguesa, Rock",viola acústica
24,https://vimeo.com/84214595,8,Filho Mãe,Mali Provisório,"1 performers (Solo, conf: 0.45)","1 performers (Solo, conf: 0.29)","1 performers (Solo, conf: 0.57)",No frame found,"1 performers (Solo, conf: 0.53)",Consistent (100%),100,solo (1),2014-01-15,,"Clássico, Blues, Música Portuguesa, Rock",viola acústica
25,https://vimeo.com/23683442,9,Gonçalo Gonçalves,Eu sei que não apareço nos jornais,"1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.81)",Consistent (100%),100,solo (1),2011-05-13,,,"Voz, viola acústica"
26,https://vimeo.com/23683137,9,Gonçalo Gonçalves,parte 1 do cantor romântico abandonado,"1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.69)","1 performers (Solo, conf: 0.50)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.82)",Consistent (100%),100,solo (1),2011-05-13,,,"Voz, orgão"
27,https://vimeo.com/23789336,10,A Caruma,Bzana,"2 performers (Duo, conf: 0.84)","2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.84)",Consistent (100%),100,duo (2),2011-05-16,,,"Voz, viola acústica, Tuba"
28,https://vimeo.com/23788905,10,A Caruma,Coitadinha,"2 performers (Duo, conf: 0.87)","2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.82)","2 performers (Duo, conf: 0.83)","2 performers (Duo, conf: 0.83)",Consistent (100%),100,duo (2),2011-05-16,,,"Voz, viola acústica, Tuba"
29,https://vimeo.com/23789100,11,António Cova,Cuidado com o pai,"1 performers (Solo, conf: 0.71)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.76)","1 performers (Solo, conf: 0.74)","1 performers (Solo, conf: 0.79)",Consistent (100%),100,solo (1),2011-05-16,,,"Voz, viola acústica"
30,https://vimeo.com/23788963,11,António Cova,parte 01,"1 performers (Solo, conf: 0.75)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.82)",Consistent (100%),100,solo (1),2011-05-16,,,"Voz, viola acústica"
31,https://vimeo.com/23789026,11,António Cova,parte 02,"1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.84)",Consistent (100%),100,solo (1),2011-05-16,,,"Voz, viola acústica"
32,https://vimeo.com/23789386,11,António Cova,parte 04,"2 performers (Duo, conf: 0.59)","2 performers (Duo, conf: 0.61)","1 performers (Solo, conf: 0.62)","2 performers (Duo, conf: 0.54)","2 performers (Duo, conf: 0.48)",Mostly consistent (80%),80,duo (2),2011-05-16,,,"Voz, viola acústica"
33,https://vimeo.com/23789855,12,Fernando Mota,Toca Viola Amarantina,"1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.83)",Consistent (100%),100,solo (1),2011-05-16,,,Viola viola amarantina
34,https://vimeo.com/23901176,12,Fernando Mota,"Toca berlindes taças, kissange e outras coisas","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.65)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.72)",Consistent (100%),100,solo (1),2011-05-18,,,"Quissange, taças de vidro, berlindes, taças tibetanas, Apitos"
35,https://vimeo.com/23789464,12,Fernando Mota,toca taças e berlindes,"1 performers (Solo, conf: 0.79)",No frame found,"1 performers (Solo, conf: 0.76)","1 performers (Solo, conf: 0.74)","1 performers (Solo, conf: 0.85)",Consistent (100%),100,solo (1),2011-05-16,,,"taças, berlindes"
36,https://vimeo.com/400282132,12,Fernando Mota,Alentejo,"1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.81)",Consistent (100%),100,solo (1),2020-03-24,,,Viola viola amarantina
37,https://vimeo.com/293950425,13,João Berhan,Gente como nós,"2 performers (Duo, conf: 0.59)","3 performers (Small Group, conf: 0.61)","3 performers (Small Group, conf: 0.56)","3 performers (Small Group, conf: 0.60)","2 performers (Duo, conf: 0.56)",Mostly consistent (60%),60,small group (3-5),2018-10-08,,,"voz, pianota"
38,https://vimeo.com/293949793,13,João Berhan,Serra da Lapa,"1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)",Consistent (100%),100,solo (1),2018-10-08,,,"voz, pianota"
39,https://vimeo.com/293954908,13,João Berhan,Monotonia,"2 performers (Duo, conf: 0.62)","2 performers (Duo, conf: 0.65)","1 performers (Solo, conf: 0.90)","2 performers (Duo, conf: 0.64)","2 performers (Duo, conf: 0.68)",Mostly consistent (80%),80,duo (2),2018-10-08,,,"voz, pianota"
40,https://vimeo.com/23789906,13,João Berhan,Bairro Alto,"2 performers (Duo, conf: 0.58)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.70)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.67)",Mostly consistent (80%),80,solo (1),2011-05-16,,,"Voz, viola acústica"
41,https://vimeo.com/23790111,13,João Berhan,Entrelinhas,"2 performers (Duo, conf: 0.60)","2 performers (Duo, conf: 0.53)","1 performers (Solo, conf: 0.71)","1 performers (Solo, conf: 0.80)","2 performers (Duo, conf: 0.48)",Mostly consistent (60%),60,duo (2),2011-05-16,,,"Voz, viola acústica"
42,https://vimeo.com/23789522,13,João Berhan,Naftalina,"1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.74)","1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.75)",Consistent (100%),100,solo (1),2011-05-16,,,"Voz, viola acústica"
43,https://vimeo.com/23901588,14,Pega Monstro,Macaco,"2 performers (Duo, conf: 0.84)","2 performers (Duo, conf: 0.87)","3 performers (Small Group, conf: 0.67)","2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.85)",Mostly consistent (80%),80,duo (2),2011-05-18,,,"Voz, viola elétrica, bateria"
44,https://vimeo.com/23901548,14,Pega Monstro,parte 01,"3 performers (Small Group, conf: 0.64)","2 performers (Duo, conf: 0.83)","2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.83)","2 performers (Duo, conf: 0.86)",Mostly consistent (80%),80,duo (2),2011-05-18,,,"Voz, viola elétrica, bateria"
45,https://vimeo.com/23902101,15,Éme,parte 01,"1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.80)",Consistent (100%),100,solo (1),2011-05-18,,minimal folk,"Voz, Viola Acústica"
46,https://vimeo.com/23912392,15,Éme,parte 02,"1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.62)","1 performers (Solo, conf: 0.65)","1 performers (Solo, conf: 0.68)",Consistent (100%),100,solo (1),2011-05-18,,minimal folk,"Voz, Viola Acústica"
47,https://vimeo.com/23902284,16,Samuel Úria,9 dos 10,"1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.85)",Consistent (100%),100,solo (1),2011-05-18,,"cantautor, blues","Voz, viola elétrica"
48,https://vimeo.com/23902437,16,Samuel Úria,Lenço Enxuto,"1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.86)",Consistent (100%),100,solo (1),2011-05-18,,"cantautor, minimal folk","Voz, viola elétrica"
49,https://vimeo.com/23902378,16,Samuel Úria,"Quinta Sinfonia
(canta Paco bandeira)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.72)","2 performers (Duo, conf: 0.57)",Mostly consistent (80%),80,solo (1),2011-05-18,,"cover, balada","Voz, viola elétrica"
50,https://vimeo.com/23902484,17,David Pires,Conjugar,"1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.76)","1 performers (Solo, conf: 0.78)",Consistent (100%),100,solo (1),2011-05-18,,,"Voz, Viola Acústica"
51,https://vimeo.com/23902701,17,David Pires,Espartano,"1 performers (Solo, conf: 0.74)","1 performers (Solo, conf: 0.74)","1 performers (Solo, conf: 0.74)","1 performers (Solo, conf: 0.74)","1 performers (Solo, conf: 0.79)",Consistent (100%),100,solo (1),2011-05-18,,,"Voz, Viola Acústica"
52,https://vimeo.com/23903011,17,David Pires,Passo noites,"1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.83)","2 performers (Duo, conf: 0.50)",Mostly consistent (80%),80,solo (1),2011-05-18,,,"Voz, Viola Acústica"
53,https://vimeo.com/23909975,18,Hyaena Fierling Reich,Hyaena Fierling Reich,"1 performers (Solo, conf: 0.58)","1 performers (Solo, conf: 0.75)","1 performers (Solo, conf: 0.83)","2 performers (Duo, conf: 0.76)","2 performers (Duo, conf: 0.76)",Mostly consistent (60%),60,solo (1),2011-05-18,,"experimental, improvisação",Voz
54,https://vimeo.com/23910050,19,André Cabaço,Búzios e Moçamente,No frame found,"1 performers (Solo, conf: 0.82)","2 performers (Duo, conf: 0.59)","2 performers (Duo, conf: 0.56)","1 performers (Solo, conf: 0.84)",Inconsistent - Manual review required (50%),50,solo (1),2011-05-18,,,"Voz, Viola Acústica"
55,https://vimeo.com/23911422,19,André Cabaço,Crianças,"2 performers (Duo, conf: 0.55)","1 performers (Solo, conf: 0.72)","1 performers (Solo, conf: 0.72)","1 performers (Solo, conf: 0.73)","1 performers (Solo, conf: 0.71)",Mostly consistent (80%),80,solo (1),2011-05-18,,,"Voz, Viola Acústica"
56,https://vimeo.com/23911547,20,Couple Coffee,O Tao do Vermelho,"2 performers (Duo, conf: 0.86)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.90)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.89)",Consistent (100%),100,duo (2),2011-05-18,,,"Voz, viola baixo elétrico, M13, da Line6 (stompbox)."
57,https://vimeo.com/23912739,20,Couple Coffee,Sambinha Cliché,No frame found,"2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.87)","2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.86)",Consistent (100%),100,duo (2),2011-05-18,,,"Voz, viola baixo elétrico, M13, da Line6 (stompbox)."
58,https://vimeo.com/23911787,20,Couple Coffee,Tenho um primo convexo,"2 performers (Duo, conf: 0.88)","2 performers (Duo, conf: 0.87)","2 performers (Duo, conf: 0.87)","2 performers (Duo, conf: 0.87)","2 performers (Duo, conf: 0.88)",Consistent (100%),100,duo (2),2011-05-18,,,"Voz, viola baixo elétrico, M13, da Line6 (stompbox)."
59,https://vimeo.com/401079317,20,Couple Coffee,"""Por Agora""","2 performers (Duo, conf: 0.79)","2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.84)","3 performers (Small Group, conf: 0.65)","2 performers (Duo, conf: 0.84)",Mostly consistent (80%),80,duo (2),2020-03-26,,duo,"voz, viola baixo de 5 cordas"
60,https://vimeo.com/23911675,21,Diogo Leal,Alvorada,"1 performers (Solo, conf: 0.31)","2 performers (Duo, conf: 0.57)","1 performers (Solo, conf: 0.65)","1 performers (Solo, conf: 0.66)","1 performers (Solo, conf: 0.80)",Mostly consistent (80%),80,solo (1),2011-05-18,,"construtor, tocador, tamborileiro",Tamboril e Flauta de tamborileiro
61,https://vimeo.com/23912674,21,Diogo Leal,"Cantiga de Santa Maria 139, intitulada Maravillosos et piadosos","1 performers (Solo, conf: 0.68)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.81)","2 performers (Duo, conf: 0.53)","1 performers (Solo, conf: 0.78)",Mostly consistent (80%),80,solo (1),2011-05-18,,"construtor, tocador, tamborileiro",Tamboril e Flauta de tamborileiro
62,https://vimeo.com/23914617,22,"Lilia, David e João",Ró Ró,No frame found,"3 performers (Small Group, conf: 0.73)","4 performers (Small Group, conf: 0.58)","5 performers (Small Group, conf: 0.61)","4 performers (Small Group, conf: 0.59)",Inconsistent - Manual review required (50%),50,small group (3-5),2011-05-18,,Folk,"Voz, Harpa,
Violoncelo, Bateria tradicional, kissange, kazoo, pandeireta"
63,https://vimeo.com/23913786,22,"Lilia, David e João",Senhora do Almortão,"2 performers (Duo, conf: 0.63)","5 performers (Small Group, conf: 0.47)","3 performers (Small Group, conf: 0.70)","4 performers (Small Group, conf: 0.57)","4 performers (Small Group, conf: 0.59)",Inconsistent - Manual review required (40%),40,small group (3-5),2011-05-18,,Folk,"Voz, Harpa,
Violoncelo, Bateria tradicional"
64,https://vimeo.com/23912841,22,"Lilia, David e João",Se Eu Soubesse Que Voando,No frame found,"4 performers (Small Group, conf: 0.63)","6 performers (Large Group, conf: 0.50)","5 performers (Small Group, conf: 0.61)","3 performers (Small Group, conf: 0.76)",Inconsistent - Manual review required (25%),25,small group (3-5),2011-05-18,,Folk,"Voz, Harpa,
Violoncelo, Bateria tradicional, pandeireta meia lua"
65,https://vimeo.com/23913023,23,Comvinha Tradicional,Vamos namorar morena,"8 performers (Large Group, conf: 0.58)","9 performers (Large Group, conf: 0.52)","10 performers (Large Group, conf: 0.53)","6 performers (Large Group, conf: 0.64)","6 performers (Large Group, conf: 0.59)",Inconsistent - Manual review required (40%),40,large group (5+),2011-05-18,,Folk,"Voz, flauta de bisel, adufe, bandolim, viola acústica, baixo acústico e bateria"
66,https://vimeo.com/23915218,23,Comvinha Tradicional,Moreninha,"8 performers (Large Group, conf: 0.49)","8 performers (Large Group, conf: 0.50)","8 performers (Large Group, conf: 0.55)","6 performers (Large Group, conf: 0.54)","7 performers (Large Group, conf: 0.52)",Mostly consistent (60%),60,large group (5+),2011-05-18,,Folk,"Voz, flauta de bisel, adufe, bandolim, viola acústica, baixo acústico e bateria"
67,https://vimeo.com/23913087,24,Tocandar,,"8 performers (Large Group, conf: 0.64)","7 performers (Large Group, conf: 0.67)","8 performers (Large Group, conf: 0.59)","7 performers (Large Group, conf: 0.72)","9 performers (Large Group, conf: 0.60)",Inconsistent - Manual review required (40%),40,large group (5+),2011-05-18,,percussão,"Caixa, Bombo"
68,https://vimeo.com/23915178,24,Tocandar,interpretam PAUS,"7 performers (Large Group, conf: 0.75)","6 performers (Large Group, conf: 0.79)","6 performers (Large Group, conf: 0.76)","5 performers (Small Group, conf: 0.84)","6 performers (Large Group, conf: 0.79)",Mostly consistent (60%),60,large group (5+),2011-05-18,,percussão,"Caixa, Bombo"
69,https://vimeo.com/23966043,24,Tocandar,Ensaio Música P,"9 performers (Large Group, conf: 0.66)","10 performers (Large Group, conf: 0.59)","8 performers (Large Group, conf: 0.66)","8 performers (Large Group, conf: 0.54)","7 performers (Large Group, conf: 0.65)",Inconsistent - Manual review required (40%),40,large group (5+),2011-05-19,,percussão,"Caixa, Bombo"
70,https://vimeo.com/23913636,25,Abaixonado,"Ah, mas são verdes","1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.88)",Consistent (100%),100,solo (1),2011-05-18,,,"Voz, Guitarra"
71,https://vimeo.com/23913589,25,Abaixonado,O passado não se dá de presente,"1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.86)",Consistent (100%),100,solo (1),2011-05-18,,,"Voz, Guitarra"
72,https://vimeo.com/23913747,25,Abaixonado,parte 03,"1 performers (Solo, conf: 0.64)","2 performers (Duo, conf: 0.63)","2 performers (Duo, conf: 0.61)","1 performers (Solo, conf: 0.72)","1 performers (Solo, conf: 0.76)",Mostly consistent (60%),60,solo (1),2011-05-18,,,"Voz, Guitarra"
73,https://vimeo.com/23913950,26,"Nuno Prata com 
Nico Tricot e António Sérginho","Se acabou, acabou","3 performers (Small Group, conf: 0.86)","3 performers (Small Group, conf: 0.82)","3 performers (Small Group, conf: 0.82)","3 performers (Small Group, conf: 0.80)","3 performers (Small Group, conf: 0.79)",Consistent (100%),100,small group (3-5),2011-05-18,,,"Voz, Ukelele, Xilofone, Caixa"
74,https://vimeo.com/28714536,26,"Nuno Prata com 
Nico Tricot e António Sérginho",Como Foi,"3 performers (Small Group, conf: 0.72)","5 performers (Small Group, conf: 0.53)","4 performers (Small Group, conf: 0.62)","4 performers (Small Group, conf: 0.61)","3 performers (Small Group, conf: 0.75)",Inconsistent - Manual review required (40%),40,small group (3-5),2011-09-07,,,"Voz, Ukelele, Xilofone, guitarra classica"
75,https://vimeo.com/23914233,27,João Nada,Parte 01,"1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.80)",Consistent (100%),100,solo (1),2011-05-18,,,"Voz, viola acústica"
76,https://vimeo.com/23914446,27,João Nada,A vida do caracol,"1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.89)",Consistent (100%),100,solo (1),2011-05-18,,,"Voz, viola acústica"
77,https://vimeo.com/23914485,27,João Nada,O tempo não tem tempo,"1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.76)","1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.78)",Consistent (100%),100,solo (1),2011-05-18,,,"Voz, viola acústica"
78,https://vimeo.com/23915526,28,Bispos no xadrez,Português Suado,"2 performers (Duo, conf: 0.74)","2 performers (Duo, conf: 0.80)","4 performers (Small Group, conf: 0.70)","2 performers (Duo, conf: 0.76)","2 performers (Duo, conf: 0.71)",Mostly consistent (80%),80,duo (2),2011-05-18,,,"Voz, Guitarra, Bombo, harmónica"
79,https://vimeo.com/23915699,29,Carolina Pereira,Só te falta ser mulher - música de B Fachada,"1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.87)",Consistent (100%),100,solo (1),2011-05-18,,,"Voz, viola acústica"
80,https://vimeo.com/23915763,30,Ana Deus,Coca-cola song - de Alberto Pimenta,"1 performers (Solo, conf: 0.83)","2 performers (Duo, conf: 0.52)","2 performers (Duo, conf: 0.53)","1 performers (Solo, conf: 0.71)","1 performers (Solo, conf: 0.77)",Mostly consistent (60%),60,solo (1),2011-05-18,,,Voz
